0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,Platform,15,346,61,0,240,,,
0.2,BoneVRepeat,133,356,40,0,240,84,15,
0.6,PlatformRepeat,-61,346,61,0,300,4,333,
1.35,BoneVRepeat,133,257,45,0,420,6,200,
0,BoneVRepeat,119,257,45,0,420,6,200,
0,BoneVRepeat,105,257,45,0,420,6,200,
0,BoneVRepeat,91,257,45,0,420,6,200,
0,BoneVRepeat,77,257,45,0,420,5,200,
0,BoneVRepeat,63,257,45,0,420,5,200,
1.15,BoneV,133,257,75,0,333,2,,
0,BoneV,88,257,100,0,666,2,,
0,BoneV,33,257,120,0,999,2,,
0.3,BoneV,514,330,99,2,420,,,
0,BoneV,528,330,99,2,420,,,
0,BoneV,542,330,99,2,420,,,
1,GasterBlaster,1,0,0,530,340,180,0,0.4
1,BoneStab,1,66,0,0.3,,,,
0.95,BoneStab,1,44,0,0.3,,,,
0.3,EndAttack,,,,,,,,
