0,CombatZoneResize,200,160,440,400,TLResume,,,
0,HeartTeleport,320,280,,,,,,
0,HeartMode,0,,,,,,,
0.44,BoneStab,0,33,0,44,,,,
0,BoneStab,1,33,0,44,,,,
0,BoneStab,2,33,0,44,,,,
0,BoneStab,3,33,0,44,,,,
0.5,SET,Loop,8,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,24,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,26,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,28,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,30,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0.7,0.3
0,RND,AngE,360,,,,,,
0,SIN,S,$AngE,,,,,,
0,COS,C,$AngE,,,,,,
0,MUL,EndS,$S,225,,,,,
0,MUL,EndC,$C,235,,,,,
0,MUL,S,$S,400,,,,,
0,MUL,C,$C,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndS,$EndS,$HeartX,,,,,
0,ADD,EndC,$EndC,$HeartY,,,,,
0,ADD,S,$S,$HeartX,,,,,
0,ADD,C,$C,$HeartY,,,,,
0,JMPNL,46,$EndS,50,,,,,
0,SET,EndS,50,,,,,,
0,JMPNG,48,$EndS,590,,,,,
0,SET,EndS,590,,,,,,
0,JMPNL,50,$EndC,40,,,,,
0,SET,EndC,40,,,,,,
0,JMPNG,52,$EndC,440,,,,,
0,SET,EndC,440,,,,,,
0,ANGLE,AngE,$EndS,$EndC,$HeartX,$HeartY,,,
0,GasterBlaster,1,$S,$C,$EndS,$EndC,$AngE,0.7,0.3
0,RND,AngW,360,,,,,,
0,SIN,A,$AngE,,,,,,
0,COS,D,$AngE,,,,,,
0,MUL,EndA,$A,225,,,,,
0,MUL,EndD,$D,235,,,,,
0,MUL,A,$A,400,,,,,
0,MUL,D,$D,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndA,$EndA,$HeartX,,,,,
0,ADD,EndD,$EndD,$HeartY,,,,,
0,ADD,A,$A,$HeartX,,,,,
0,ADD,D,$D,$HeartY,,,,,
0,JMPNL,68,$EndA,50,,,,,
0,SET,EndA,50,,,,,,
0,JMPNG,70,$EndA,590,,,,,
0,SET,EndA,590,,,,,,
0,JMPNL,72,$EndD,40,,,,,
0,SET,EndD,40,,,,,,
0,JMPNG,74,$EndD,440,,,,,
0,SET,EndD,440,,,,,,
0,ANGLE,AngW,$EndA,$EndD,$HeartX,$HeartY,,,
0,GasterBlaster,1,$A,$D,$EndA,$EndD,$AngW,0.7,0.3
0,RND,AngQ,360,,,,,,
0,SIN,J,$AngQ,,,,,,
0,COS,K,$AngQ,,,,,,
0,MUL,EndJ,$J,225,,,,,
0,MUL,EndK,$K,235,,,,,
0,MUL,J,$J,400,,,,,
0,MUL,K,$K,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndJ,$EndJ,$HeartX,,,,,
0,ADD,EndK,$EndK,$HeartY,,,,,
0,ADD,J,$J,$HeartX,,,,,
0,ADD,K,$K,$HeartY,,,,,
0,JMPNL,90,$EndK,50,,,,,
0,SET,EndK,50,,,,,,
0,JMPNG,92,$EndK,590,,,,,
0,SET,EndK,590,,,,,,
0,JMPNL,94,$EndJ,40,,,,,
0,SET,EndJ,40,,,,,,
0,JMPNG,96,$EndJ,440,,,,,
0,SET,EndJ,440,,,,,,
0,ANGLE,AngQ,$EndJ,$EndK,$HeartX,$HeartY,,,
0,GasterBlaster,1,$J,$K,$EndJ,$EndK,$AngQ,0.7,0.3
1.7,JMPNZ,9,$Loop,,,,,,
0.3,CombatZoneResize,250,210,380,350,,,,
0.2,GasterBlaster,2,0,280,200,280,0,0,0.3
0,GasterBlaster,2,320,0,320,200,90,0,0.3
0,GasterBlaster,2,640,280,440,280,180,0,0.3
0,GasterBlaster,2,320,480,320,400,270,0,0.3
0.9,EndAttack,,,,,,,,
